Código;Fundo;Data;Cota;Variação;Captação;Resgate;PL;Cotistas
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;20/03/2025;1,5340787;-0,23%;R$ 30.280,00;R$ 29.145,51;R$ 45.369.995,74;9.461
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;19/03/2025;1,5375481;0,05%;R$ 52.097,44;R$ 366.283,10;R$ 45.471.465,79;9.462
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;18/03/2025;1,5367409;0,09%;R$ 296,81;R$ 9.963,53;R$ 45.761.614,18;9.460
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;17/03/2025;1,5352844;0,04%;R$ 13.812,30;R$ 67.289,71;R$ 45.727.898,79;9.470
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;14/03/2025;1,534598;-0,09%;R$ 3.855,40;R$ 116.607,07;R$ 45.760.908,97;9.463
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;13/03/2025;1,5360046;0,12%;R$ 6.114,15;R$ 128.426,79;R$ 45.915.707,93;9.468
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;12/03/2025;1,5342058;0,02%;R$ 101,62;R$ 84.984,68;R$ 45.984.107,83;9.470
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;11/03/2025;1,5338712;0,23%;R$ 4.735,69;R$ 20.886,42;R$ 46.058.941,43;9.472
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;10/03/2025;1,5303622;-0,02%;R$ 1.523,13;R$ 9.441,80;R$ 45.969.689,06;9.480
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;07/03/2025;1,5306955;0,10%;R$ 10.950,73;R$ 55.450,74;R$ 45.987.620,04;9.475
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;06/03/2025;1,5292394;0,01%;R$ 1.498,37;R$ 13.531,72;R$ 45.988.333,19;9.479
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;05/03/2025;1,5291274;0,22%;R$ 1.598,37;R$ 108.320,37;R$ 45.996.997,40;9.483
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;28/02/2025;1,5256985;-0,16%;R$ 27.537,11;R$ 17.257,56;R$ 46.000.335,26;9.468
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;27/02/2025;1,5281693;-0,04%;R$ 10.087,34;R$ 30.763,05;R$ 46.064.536,09;9.467
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;26/02/2025;1,5287556;-0,11%;R$ 3.135,83;R$ 112.940,49;R$ 46.102.893,60;9.469
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;25/02/2025;1,5304047;0,01%;R$ 415,26;R$ 80.191,74;R$ 46.262.547,92;9.473
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;24/02/2025;1,5302775;-0,10%;R$ 13.680,55;R$ 11.333,83;R$ 46.338.472,38;9.481
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;21/02/2025;1,5317541;0,19%;R$ 28.001,53;R$ 16.197,73;R$ 46.380.837,69;9.478
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;20/02/2025;1,5288505;0,13%;R$ 39.099,42;R$ 480.189,18;R$ 46.281.136,67;9.474
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;19/02/2025;1,5268288;0,01%;R$ 5.835,15;R$ 777,46;R$ 46.660.440,99;9.480
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;18/02/2025;1,5266687;0,06%;R$ 9.769,73;R$ 405.991,96;R$ 46.650.492,70;9.485
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;17/02/2025;1,5256815;0,20%;R$ 809,53;R$ 14.418,77;R$ 47.016.292,15;9.498
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;14/02/2025;1,5226442;0,23%;R$ 2.285,60;R$ 17.994,69;R$ 46.936.275,05;9.489
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;13/02/2025;1,5192256;0,11%;R$ 1.124,04;R$ 97.570,46;R$ 46.846.568,00;9.489
43011;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA INFLAÇÃO CURTA;12/02/2025;1,5175126;-0,09%;R$ 38,08;R$ 15.119,16;R$ 46.890.084,84;9.496
